Frequency (Hz)	Level (dB)
17958.691406	-115.548187
18001.757812	-115.614571
18044.824219	-115.691704
18087.890625	-115.596062
18130.957031	-115.425056
18174.023438	-115.510925
18217.089844	-115.576942
18260.156250	-115.650139
18303.222656	-115.602936
18346.289062	-115.582619
18389.355469	-115.502907
18432.421875	-115.604759
18475.488281	-115.725014
18518.554688	-115.635513
18561.621094	-115.513763
18604.687500	-115.535767
18647.753906	-115.558815
18690.820312	-115.485802
18733.886719	-115.478912
18776.953125	-115.498367
18820.019531	-115.520226
18863.085938	-115.559868
18906.152344	-115.554909
18949.218750	-115.520454
18992.285156	-115.514076
19035.351562	-115.481056
19078.417969	-115.593269
19121.484375	-115.536392
19164.550781	-115.514107
19207.617188	-115.608765
19250.683594	-115.618759
19293.750000	-115.583206
19336.816406	-115.686821
19379.882812	-115.761658
19422.949219	-115.774208
19466.015625	-115.600700
19509.082031	-115.570305
19552.148438	-115.526848
19595.214844	-115.523048
19638.281250	-115.585182
19681.347656	-115.735062
19724.414062	-115.657791
19767.480469	-115.627747
19810.546875	-115.632576
19853.613281	-115.837791
19896.679688	-116.262657
19939.746094	-117.085518
19982.812500	-118.584541
20025.878906	-120.984047
20068.945312	-124.381012
20112.011719	-129.011246
20155.078125	-134.915054
20198.144531	-143.045593
20241.210938	-153.416428
20284.277344	-162.192551
20327.343750	-170.105499
20370.410156	-175.716370
20413.476562	-179.168259
20456.542969	-181.732590
20499.609375	-184.267899
20542.675781	-186.321045
20585.742188	-186.597321
20628.808594	-186.757446
20671.875000	-188.198288
20714.941406	-188.854874
20758.007812	-189.844635
20801.074219	-191.248672
20844.140625	-192.014099
20887.207031	-192.322128
20930.273438	-193.182770
20973.339844	-191.771454
21016.406250	-188.343826
21059.472656	-186.409393
21102.539062	-184.891571
21145.605469	-186.413254
21188.671875	-190.059692
21231.738281	-191.923813
21274.804688	-192.220444
21317.871094	-191.023911
21360.937500	-190.033508
21404.003906	-190.687164
21447.070312	-190.103973
21490.136719	-187.604813
21533.203125	-188.927338
21576.269531	-192.058762
21619.335938	-192.873352
21662.402344	-191.050507
21705.468750	-190.075363
21748.535156	-192.123962
21791.601562	-191.891418
21834.667969	-191.799194
21877.734375	-191.497787
21920.800781	-189.825729
21963.867188	-189.896362
22006.933594	-189.664444
